match_id,matchup,p1_ai,p2_ai,winner_label,winner_index,termination,turns_completed,loadout_deck,loadout_class,loadout_barracks,loadout_battlefields,p1_final_score,p2_final_score
1,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Arcane Manipulators,Storm Warden,Quartermaster's Bastion,"Ironheart Forges, Breach Point, Bloodletting Altar",49.0,113.25
2,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Inspiring Defenders,Storm Warden,Quartermaster's Bastion,"Bloodletting Altar, Grand Cathedral, Scorched Wastes",57.5,113.25
3,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Inspiring Defenders,Vanguard,War-Wrought Citadel,"Breach Point, Ironheart Forges, Arcane Nexus",53.0,117.0
4,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Sacrificial Cult,Ash Chancellor,Sanctum of the Fallen,"Scorched Wastes, Bloodletting Altar, Martyr’s Square",53.0,94.0
5,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Sacrificial Cult,Storm Warden,War-Wrought Citadel,"Scorched Wastes, Breach Point, Bloodletting Altar",101.25,51.75
6,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Arcane Manipulators,Grand Strategist,High Command Spire,"Grand Cathedral, Breach Point, Martyr’s Square",59.75,112.75
7,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Sacrificial Cult,Ash Chancellor,Ossuary Keep,"Martyr’s Square, Bloodletting Altar, Grand Cathedral",93.25,77.5
8,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Siege Masters,Storm Warden,High Command Spire,"Breach Point, Bloodletting Altar, Scorched Wastes",72.75,93.25
9,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Siege Masters,Grand Strategist,Sanctum of the Fallen,"Scorched Wastes, Arcane Nexus, Bloodletting Altar",87.75,105.25
10,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Sacrificial Cult,Arch-Hierarch,Ossuary Keep,"Grand Cathedral, Scorched Wastes, Hall of Mirrors",83.5,89.5
11,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Sacrificial Cult,Arch-Hierarch,High Command Spire,"Arcane Nexus, Silent Chasm, Scorched Wastes",92.5,80.0
12,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Siege Masters,Storm Warden,Sanctum of the Fallen,"Ironheart Forges, Bloodletting Altar, Arcane Nexus",49.75,115.25
13,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Sacrificial Cult,Grand Strategist,Sanctum of the Fallen,"Arcane Nexus, Martyr’s Square, Scorched Wastes",70.0,99.0
14,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Siege Masters,Ash Chancellor,Ossuary Keep,"Bloodletting Altar, Martyr’s Square, Scorched Wastes",89.75,48.5
15,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Sacrificial Cult,Arch-Hierarch,War-Wrought Citadel,"Scorched Wastes, Breach Point, Hall of Mirrors",65.75,82.5
16,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Arcane Manipulators,Vanguard,Ossuary Keep,"Martyr’s Square, Bloodletting Altar, Silent Chasm",87.5,75.25
17,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Sacrificial Cult,Grand Strategist,War-Wrought Citadel,"Grand Cathedral, Hall of Mirrors, Arcane Nexus",113.5,63.75
18,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Arcane Manipulators,Vanguard,Ossuary Keep,"Martyr’s Square, Breach Point, Scorched Wastes",75.5,83.0
19,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Arcane Manipulators,Ash Chancellor,Ossuary Keep,"Grand Cathedral, Ironheart Forges, Bloodletting Altar",52.0,114.0
20,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Siege Masters,Vanguard,Sanctum of the Fallen,"Hall of Mirrors, Arcane Nexus, Martyr’s Square",106.5,54.75
21,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Inspiring Defenders,Ash Chancellor,War-Wrought Citadel,"Arcane Nexus, Grand Cathedral, Ironheart Forges",56.25,110.75
22,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Inspiring Defenders,Vanguard,High Command Spire,"Grand Cathedral, Breach Point, Silent Chasm",82.0,80.25
23,bad_vs_bad,bad,bad,Player 2,1,winner_declared,51,Arcane Manipulators,Grand Strategist,Sanctum of the Fallen,"Hall of Mirrors, Ironheart Forges, Breach Point",98.5,62.0
