match_id,matchup,p1_ai,p2_ai,winner_label,winner_index,termination,turns_completed,loadout_deck,loadout_class,loadout_barracks,loadout_battlefields,p1_final_score,p2_final_score
1,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Arcane Manipulators,Storm Warden,Quartermaster's Bastion,"Ironheart Forges, Breach Point, Bloodletting Altar",105.75,106.75
2,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Inspiring Defenders,Storm Warden,Quartermaster's Bastion,"Bloodletting Altar, Grand Cathedral, Scorched Wastes",93.25,116.75
3,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Inspiring Defenders,Vanguard,War-Wrought Citadel,"Breach Point, Ironheart Forges, Arcane Nexus",118.5,93.75
4,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Sacrificial Cult,Ash Chancellor,Sanctum of the Fallen,"Scorched Wastes, Bloodletting Altar, Martyr’s Square",105.75,104.5
5,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Sacrificial Cult,Storm Warden,War-Wrought Citadel,"Scorched Wastes, Breach Point, Bloodletting Altar",81.75,129.0
6,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Arcane Manipulators,Grand Strategist,High Command Spire,"Grand Cathedral, Breach Point, Martyr’s Square",240.0,211.5
7,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Sacrificial Cult,Ash Chancellor,Ossuary Keep,"Martyr’s Square, Bloodletting Altar, Grand Cathedral",119.25,96.0
8,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Siege Masters,Storm Warden,High Command Spire,"Breach Point, Bloodletting Altar, Scorched Wastes",91.75,117.0
9,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Siege Masters,Grand Strategist,Sanctum of the Fallen,"Scorched Wastes, Arcane Nexus, Bloodletting Altar",239.25,216.75
10,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Sacrificial Cult,Arch-Hierarch,Ossuary Keep,"Grand Cathedral, Scorched Wastes, Hall of Mirrors",154.5,143.25
11,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Sacrificial Cult,Arch-Hierarch,High Command Spire,"Arcane Nexus, Silent Chasm, Scorched Wastes",159.0,138.75
12,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Siege Masters,Storm Warden,Sanctum of the Fallen,"Ironheart Forges, Bloodletting Altar, Arcane Nexus",93.75,116.25
13,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Sacrificial Cult,Grand Strategist,Sanctum of the Fallen,"Arcane Nexus, Martyr’s Square, Scorched Wastes",241.5,192.5
14,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Siege Masters,Ash Chancellor,Ossuary Keep,"Bloodletting Altar, Martyr’s Square, Scorched Wastes",81.5,129.75
15,bad_vs_bad,bad,bad,Draw,,turn_limit_draw,2001,Sacrificial Cult,Arch-Hierarch,War-Wrought Citadel,"Scorched Wastes, Breach Point, Hall of Mirrors",110.25,174.0
